hash,message,hashes_of_parents,is_merge_commit,list_of_modified_files
5d58272128c187a7fae5b47abb024549f3bb74d2,"Merge pull request #2 from airbnb/interpolation-fix

remove invalid interpolation examples","['ca0f5ff8076ed0e0924bb8004a79d6983d949b8a', 'f08e400ae498fee1b59e7b5ca64838ddee6b21ea']",True,[]
fef21df0e5b84e4cc152d79a6bb950a4af6ae254,fix conflict,"['6a0c83a322ae8ebdfe8cecae2f6e7069ab75934b', '5d58272128c187a7fae5b47abb024549f3bb74d2']",True,[]
8cef7f1ec6d6cd1a0e0e5c7915d4a001d3cb10e2,fix the baker link,['b2c7d3d0d35c9608f76047b318baae3b97021dc0'],False,['README.md']
ab5910ae9ad13acdebd7f104acab8e63fa2fcfdd,braces for mulit-line blocks only. optional for single-line blocks. fixes #3,['8cef7f1ec6d6cd1a0e0e5c7915d4a001d3cb10e2'],False,['README.md']
622050681b70af230412a95e7f14c9a1f4e50ae8,"Don't use reserved words as property names. If you do, quote them. fixes #6",['437e33a31859aafbbf2b04c204b7009b6c260b47'],False,['README.md']
8f0ef5d9fdfd1ce6da4a1977451e0ff2003a65b0,return when it makes sense. fixes #9,['622050681b70af230412a95e7f14c9a1f4e50ae8'],False,['README.md']
b714fe88ccb4497950934ac643efed27acb24e52,Just don't use reserved words as keys. fixes #6,['8f0ef5d9fdfd1ce6da4a1977451e0ff2003a65b0'],False,['README.md']
db5cd7c091fef244506a5f995bdc0c9f159e6a2b,Increment fix version for typo update,['280164a995d9cebac4d9fc35f7844920c5410445'],False,['SublimeLinter.sublime-settings']
e34611d5b2527885503cfd27c47c1b76cd0705ba,[accessors] fixes #13,['1fcf86fd9650b125d0e05e2b9c365978beee9a45'],False,['README.md']
92fa3c7f73bb041f04d3f553a392e0468420f334,[naming conventions] fixes #15,['4400753ac1a2b1fc11500d996a7e1498d520f36f'],False,['README.md']
b790fae6ca2b29038c302d045285af3d91af8aab,[variables] more generic. fixes #14,['92fa3c7f73bb041f04d3f553a392e0468420f334'],False,['README.md']
f473ef00e96f31e802d07d0906bd66b1d3c99bd3,[whitespace] use indentation for long method chains. fixes #19,['fadaff70374fa9c7a517aef146d3408713b05ada'],False,['README.md']
b4cf72329d7e703ec4e900e171c1b83f54023531,[Type Casting & Coercion] use parseInt for readability. fixes #18,['bd6a4076df5424ec8d7b89589773b98e1af05084'],False,['README.md']
2dadef915c6176f4a29f839b3b249f9d44d21f40,[Type Casting & Coercion] fix typo,['b4cf72329d7e703ec4e900e171c1b83f54023531'],False,['README.md']
9fb45df8fc9a731bb1fe6ecac28b94b7634e0619,[jQuery] better performance for DOM queries. fixes #22,['2dadef915c6176f4a29f839b3b249f9d44d21f40'],False,['README.md']
86cd4a2cfad6cfc89f02d5bc0a80cfcf76329d31,Fixed typo -> pased to passed,['4d9dc6cc8f2c41b63f75ea7fd9819e3467371855'],False,['README.md']
a4115f07d95a41b54f8a139d4ac73f7a2f46b97b,"Merge pull request #23 from askalot/master

Fixed minor typo","['4d9dc6cc8f2c41b63f75ea7fd9819e3467371855', '86cd4a2cfad6cfc89f02d5bc0a80cfcf76329d31']",True,[]
9fd528f794aee470f7073747ae3a2e2e09ae7bbb,Fix whitespace one space example,['a4115f07d95a41b54f8a139d4ac73f7a2f46b97b'],False,['README.md']
c3f8a79b70fed691c2ec981f183562567aef3659,"Merge pull request #26 from jgable/patch-1

Fix whitespace one space example","['a4115f07d95a41b54f8a139d4ac73f7a2f46b97b', '9fd528f794aee470f7073747ae3a2e2e09ae7bbb']",True,[]
e6243c95cde6cf96a3bd9a4e6ee616687f2eecbd,"[naming conventions] saving reference to this, use _this. fixes #32",['d5210145e8ca0b0aa0dd6f66ccfb613b37dc7a7b'],False,['README.md']
015e4317adb15dc5cc7dd14f657a682359cc8434,[arrays] update jsperf links. fixes #27,['dfb699a068238e6647427a7d34a9c2954b0f20ea'],False,['README.md']
2091d965100f66a7e73c71256e447f6f9bcc5de9,"Merge pull request #36 from thisconnect/master

small code example and typo fixes","['b74ba8bdc6405dddefc59e7369ade78f7cba0670', 'c4ae7e7a56942cc4c2be20bf32511623605d6d1b']",True,[]
4815ab0016195fd826ad477e96f878b928bc2b93,[strings] add jsPerf and discussion about long strings with concatenation. Fixes #40,['e645ca25f91d271e3a6224bbe5478a51624a1d47'],False,['README.md']
c30a067f10620f5307f4056c98edf4f6563dc438,[arrays] use Array#slice to copy an array. Fixes #41,['4815ab0016195fd826ad477e96f878b928bc2b93'],False,['README.md']
d149b74dca2a1dc08a163ae4b88d7e70e1ae39c7,[hoisting] fix typo,['c30a067f10620f5307f4056c98edf4f6563dc438'],False,['README.md']
5a01394bbd2a8b7293c9b99867c5ad26fe8f752c,[functions] fix link to ecma-262 note,['53946c5a0a00acf5bc3e49bd39f453bac4c96a2a'],False,['README.md']
2a43ade4ad7a796083bd18836986de55eea374a1,Fixed typo,['5a01394bbd2a8b7293c9b99867c5ad26fe8f752c'],False,['README.md']
eceab31a02047089bc6a4d1a93b0f0cf91fb9ea9,"Merge pull request #43 from mitsuruog/master

[functions] Fixed typo","['5a01394bbd2a8b7293c9b99867c5ad26fe8f752c', '2a43ade4ad7a796083bd18836986de55eea374a1']",True,[]
40f261b9d9b5ecb0f4240cd885aa965818b2585d,Fixed typo,['2a43ade4ad7a796083bd18836986de55eea374a1'],False,['README.md']
11bfc4a221907f20acf9ec8839f69cb5653cb1a2,Fixed typo,['40f261b9d9b5ecb0f4240cd885aa965818b2585d'],False,['README.md']
479fcbede2fad69c895a9351ba392c7a553ec135,"Merge pull request #46 from mitsuruog/master

Fixed some typos.","['c3111c7be22236401f6f3fd2b222fac2b8e64459', '11bfc4a221907f20acf9ec8839f69cb5653cb1a2']",True,[]
